ledger_status	description	in_service_year	accum_quantity	accum_cost	company_id	gl_account_id	func_class_id	retirement_unit_id	bus_segment_id	utility_account_id	sub_account_id	asset_location_id	subledger_indicator	asset_id	depr_group_id	property_unit_id	asset_acct_meth_id	retire_method_id	long_description	property_group_id	unit_of_measure_id	compute_0023	major_location_id	line_number_id	books_schema_id	long_description	long_description	work_order_number	eng_in_service_year	serial_number	func_symbol	local_symbol	local_cost	related_asset	related_equip	second_financial_cost
1	Grundfos 1.5 Pump& Motor - S01 FH	4/1/2019 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221828	99	31360756	29742346	270	1	1	1.5 HP Grundfos 35S15-6 Pump & Motor, 5721 Middle Ridge Ct NE, Olympia - Fox Hall S01	12	1	2019	21212680		1	PUMPING EQUIPMENT [270]	10991 - Foxhall	00119197	11/30/2018 00:00:00		USD	N/A	0	yes		191.23
1	1.5hp well pump - DLL	8/1/2018 00:00:00	1	1770.78	4	101010	4	270	1	3240	3240	30501236	99	30569886	21214945	270	1	1	1.5hp well pump - DLL	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	10340 - Delta Long Lk acre tracks	WW100	8/1/2018 00:00:00		USD	N/A	0			1770.78
1	10hp subpump,motor - PH, S11	12/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221624	99	30947195	29742346	270	1	1	10hp Grundfos subpump, model 45S100-22,& motor - PH, S11	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00103325	11/21/2018 00:00:00	98924053,9644031	USD	N/A	0	yes		199.68
1	10hp subpump,motor - PH, S11	12/1/2018 00:00:00	1	29078.29	4	101010	4	270	1	3240	3240	21221624	99	30947189	21214945	270	1	1	10hp Grundfos subpump, model 45S100-22,& motor - PH, S11	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00103325	11/21/2018 00:00:00	98924053,9644031	USD	N/A	0	yes		29078.28
1	12' x 12' Storage Enclosure, NW Ops	11/1/2017 00:00:00	1	16144.28	4	101010	4	256	1	3210	3210	21212872	99	29103205	21214940	256	1	1	12' x 12' Storage Enclosure, NW Ops	21	1	2017	21212676		1	MISCELLANEOUS [256]	500 - WWSCO Admin	00116834	11/30/2017 00:00:00		USD	N/A	0			16144.28
1	1hp Jockey Pump - BL S01	3/1/2018 00:00:00	1	1083.43	4	101010	4	270	1	3240	3240	21221802	99	30013427	21214945	270	1	1	1hp Goulds 25GB10-7 Jockey Pump - Black Lake Est, S01	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	26071 - Black Lake Estates	00117673	1/9/2018 00:00:00	25GBC10-L1756753	USD	N/A	0	yes		1083.43
1	1hp Jockey Pump - BL S01	3/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221802	99	30013444	29742346	270	1	1	1hp Goulds 25GB10-7 Jockey Pump - Black Lake Est, S01	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	26071 - Black Lake Estates	00117673	1/9/2018 00:00:00	25GBC10-L1756753	USD	N/A	0	yes		7.12
1	1hp Jockey Pump - PT, Sidney Pk BPS	2/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221604	99	29868305	29742346	270	1	1	1hp Goulds J10S Jockey Pump & Motor - Parkview Terrace, Sidney Pk BPS	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66215 - Parkview Terrace	00117443	1/9/2018 00:00:00	C48AA34A06,10117CH	USD	N/A	0	yes		15.9
1	1hp Jockey Pump - PT, Sidney Pk BPS	2/1/2018 00:00:00	1	841.66	4	101010	4	270	1	3240	3240	21221604	99	29868288	21214945	270	1	1	1hp Goulds J10S Jockey Pump & Motor - Parkview Terrace, Sidney Pk BPS	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66215 - Parkview Terrace	00117443	1/9/2018 00:00:00	C48AA34A06,10117CH	USD	N/A	0	yes		841.66
1	2 BP & Valves - SROAD	11/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221620	99	30835492	29742346	270	1	1	2 Booster Pump & Valves - Sehmel Road	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	20481 - Sehmel Road	00119139	10/31/2018 00:00:00		USD	N/A	0	yes		54.94
1	2 BP & Valves - SROAD	11/1/2018 00:00:00	0	3627.74	4	101010	4	270	1	3240	3240	21221620	99	30835475	21214945	270	1	1	2 Booster Pump & Valves - Sehmel Road	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	20481 - Sehmel Road	00119139	10/31/2018 00:00:00		USD	N/A	0	yes		3627.74
1	2" ball valves on BP2 - GM	12/1/2018 00:00:00	2	1306.15	4	101010	4	270	1	3240	3240	21221782	99	30947642	21214945	270	1	1	2" ball valves on BP2 on 69ths Ave S - Golden Meadows	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	AA608 - Golden Meadow	00118797	10/5/2018 00:00:00		USD	N/A	0	yes		1306.15
1	2" ball valves on BP2 - GM	12/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221782	99	30947659	29742346	270	1	1	2" ball valves on BP2 on 69ths Ave S - Golden Meadows	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	AA608 - Golden Meadow	00118797	10/5/2018 00:00:00		USD	N/A	0	yes		39.97
1	2.5" Victaulic Chk Valve - SHA BPS	11/1/2018 00:00:00	1	807.75	4	101010	4	270	1	3240	3240	21221874	99	30835418	21214945	270	1	1	2.5" Victaulic Check Valve - Sunshine Acres Booster Station	12	1	2018	21212684		1	PUMPING EQUIPMENT [270]	86250 - Sunshine Acres	00119091	11/16/2018 00:00:00		USD	N/A	0	yes		807.75
1	2.5" Victaulic Chk Valve - SHA BPS	11/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221874	99	30835435	29742346	270	1	1	2.5" Victaulic Check Valve - Sunshine Acres Booster Station	12	1	2018	21212684		1	PUMPING EQUIPMENT [270]	86250 - Sunshine Acres	00119091	11/16/2018 00:00:00		USD	N/A	0	yes		18.02
1	20HP Franklin Sandfightr test-motor	4/1/2017 00:00:00	1	3183.25	4	101010	4	270	1	3240	3240	21221508	99	27685182	21214945	270	1	1	20HP 460V 3PH Franklin Sandfighter Sub-motor for well production tests	12	1	2017	21212676		1	PUMPING EQUIPMENT [270]	500 - WWSCO Admin (default location)	00105517	2/28/2017 00:00:00	15H19-22-06275A	USD	N/A	0			3183.25
1	2hp Booster Pump -JOH, S01&2 site	6/1/2017 00:00:00	1	1271.28	4	101010	4	270	1	3240	3240	21221902	99	27778461	21214945	270	1	1	2hp FW CJ101B201 Booster Pump & motor - Johanson, S01&2 site	12	1	2017	21212684		1	PUMPING EQUIPMENT [270]	36782 - Johanson	00111886	4/30/2017 00:00:00	FW-CJ101B201-9812,98J120	USD	N/A	0			1271.28
1	SandSeparator,Plumbing - PH S10	5/1/2018 00:00:00	1	22009.27	4	101010	4	270	1	3240	3240	21221624	99	30291788	21214945	270	1	1	3"Lakos SandSeparator,Foundation,Plumbing - PH, Trillium Pk S10	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00117589	5/17/2018 00:00:00		USD	N/A	0	yes		22009.26
1	SandSeparator,Plumbing - PH S10	5/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221624	99	30291794	29742346	270	1	1	3"Lakos SandSeparator,Foundation,Plumbing - PH, Trillium Pk S10	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00117589	5/17/2018 00:00:00		USD	N/A	0	yes		428.3
1	3/4hp 230/1 5STG Jockey - CYV	4/1/2017 00:00:00	1	1133.16	4	101010	4	270	1	3240	3240	21221810	99	27595750	21214945	270	1	1	3/4hp 230/1 5STG Jockey - Cuyamaca Village	12	1	2017	21212680		1	PUMPING EQUIPMENT [270]	17100 - Cuyamaca Village	00108104	2/28/2017 00:00:00	01-17-17-1	USD	N/A	0			1133.16
1	3hp Jockey Pump & 5hp Motor - HR	5/1/2017 00:00:00	1	1925.28	4	101010	4	270	1	3240	3240	21221808	99	27683704	21214945	270	1	1	3hp 2" Goulds 60GS30 Jockey Pump & 5hp Motor - Holiday Ranchettes @ res site	12	1	2017	21212680		1	PUMPING EQUIPMENT [270]	33677 - Holiday Ranchettes	00103551	2/28/2017 00:00:00	M1533325	USD	N/A	0			1925.28
1	3hp Subpump & Motor, MASTRO S01	9/1/2017 00:00:00	1	5092.52	4	101010	4	270	1	3240	3240	21221708	99	28735715	21214945	270	1	1	3HP 25S30-15 GF 4" Subpump & 3HP 4" 1PH 230V Submotor, MASTRO S01	12	1	2017	21212678		1	PUMPING EQUIPMENT [270]	11695 - Mastro	00113999	7/31/2017 00:00:00	5010015,PCP21616	USD	N/A	0			5092.52
1	Well Pump & Motor - AF, S02	2/1/2019 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221798	99	31178735	29742346	270	1	1	3HP 25S30-15 GF Sub Pump, 3HP 4" 3PH 230V Sub Motor, Cntrl Box & Piping - Andrews First S02	12	1	2019	21212680		1	PUMPING EQUIPMENT [270]	17241 - Andrews First	00118685	8/15/2018 00:00:00		USD	N/A	0	yes		-10.39
1	Well Pump & Motor - AF, S02	11/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221798	99	30835249	29742346	270	1	1	3HP 25S30-15 GF Sub Pump, 3HP 4" 3PH 230V Sub Motor, Cntrl Box & Piping - Andrews First S02	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	17241 - Andrews First	00118685	8/15/2018 00:00:00		USD	N/A	0	yes		234.8
1	Well Pump & Motor - AF, S02	11/1/2018 00:00:00	1	5640.07	4	101010	4	270	1	3240	3240	21221798	99	30835232	21214945	270	1	1	3HP 25S30-15 GF Sub Pump, 3HP 4" 3PH 230V Sub Motor, Cntrl Box & Piping - Andrews First S02	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	17241 - Andrews First	00118685	8/15/2018 00:00:00		USD	N/A	0	yes		5640.07
1	Well pump & motor 3hp 4" - AM	3/1/2017 00:00:00	1	2749.34	4	101010	4	270	1	3240	3240	21221556	99	27499288	21214945	270	1	1	3hp 4" 25S30-15 GF sub pmp & mtr - Amanda	12	1	2017	21212678		1	PUMPING EQUIPMENT [270]	01027 - Amanda	00108257	9/30/2016 00:00:00	A501001SP116280002/96449948	USD	N/A	0			2749.34
1	Pump & Motor, 3hp sub - MM S03	12/1/2016 00:00:00	1	3812.64	4	101010	4	270	1	3240	3240	21221642	99	27230747	21214945	270	1	1	3hp 4" sub pump & motor, 40S30-9 GF, 230/1 - Minterbrook S03	12	1	2016	21212678		1	PUMPING EQUIPMENT [270]	54740 - Minterbrook	00108617	11/30/2016 00:00:00		USD	N/A	0			3812.64
1	Pump & Motor - CWC, Well #2	11/1/2017 00:00:00	1	5381.99	4	101010	4	270	1	3240	3240	23574704	99	29103106	21214945	270	1	1	3hp Sub Pump & Motor - Cristalina, Well #2	12	1	2017	21212686		1	PUMPING EQUIPMENT [270]	03014 - Cristalina Water Company	00114407	11/30/2017 00:00:00	96449948,98924077	USD	N/A	0			5381.99
1	Pump Motor 40hp - PH, S12 on 103rd	3/1/2017 00:00:00	1	6070.85	4	101010	4	270	1	3240	3240	21221624	99	27499404	21214945	270	1	1	40hp 460/3 Sandfighter Pump Motor - Peacock Hill, S12 on 103rd.	12	1	2017	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00110380	2/28/2017 00:00:00	16J19-15-06154A	USD	N/A	0			6070.85
1	40hp subpump,motor - PH, S19	12/1/2018 00:00:00	1	33112.13	4	101010	4	270	1	3240	3240	21221624	99	30947186	21214945	270	1	1	40hp Grundfos subpump, model 300S400-10,& motor - PH, S19	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00103325	11/21/2018 00:00:00	14B60010,9616617	USD	N/A	0	yes		33112.13
1	40hp subpump,motor - PH, S19	12/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221624	99	30947198	29742346	270	1	1	40hp Grundfos subpump, model 300S400-10,& motor - PH, S19	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00103325	11/21/2018 00:00:00	14B60010,9616617	USD	N/A	0	yes		227.38
1	48"x48" Office Sign - GH	5/1/2018 00:00:00	1	717.31	4	101010	4	256	1	3210	3210	21212872	99	30291751	21214940	256	1	1	48"x48" Office Sign - Gig Harbor Office	21	1	2018	21212676		1	MISCELLANEOUS [256]	500 - WWSCO Admin	00117585	1/30/2018 00:00:00		USD	N/A	0			717.31
1	5hp Booster #1 motor - WL	11/1/2015 00:00:00	1	1366.56	4	101010	4	270	1	3240	3240	21221664	99	25532913	21214945	270	1	1	5hp 230/1 TEFC Baldor motor model JML3608T - Wicks Lake booster #1	12	1	2015	21212678		1	PUMPING EQUIPMENT [270]	96728 - Wicks Lake Ranches	00103547	10/31/2015 00:00:00		USD	N/A	0			1366.56
1	Pump Control Box - ITT, S01	8/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221636	99	30569785	29742346	270	1	1	5hp Deluxe Pump Control Box - ITT, S01	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	03591 - ITT	00118623	7/12/2018 00:00:00		USD	N/A	0	yes		61.76
1	Pump Control Box - ITT, S01	8/1/2018 00:00:00	1	1456.99	4	101010	4	270	1	3240	3240	21221636	99	30569768	21214945	270	1	1	5hp Deluxe Pump Control Box - ITT, S01	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	03591 - ITT	00118623	7/12/2018 00:00:00		USD	N/A	0	yes		1456.99
1	Well Pump & Motor - CW	11/1/2018 00:00:00	1	4630.93	4	101010	4	270	1	3240	3240	21221826	99	30835515	21214945	270	1	1	5hp Goulds Well Pump 65GS50 & Motor, riser pipe - Cedarwood, Carney Dr	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	00253 - Cedarwood/South Union Estates	00119185	10/31/2018 00:00:00	F1752481,E2517Z310062	USD	N/A	0	yes		4630.93
1	Well Pump & Motor - CW	11/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221826	99	30835535	29742346	270	1	1	5hp Goulds Well Pump 65GS50 & Motor, riser pipe - Cedarwood, Carney Dr	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	00253 - Cedarwood/South Union Estates	00119185	10/31/2018 00:00:00	L1754013,E1917Z310203	USD	N/A	0	yes		117
1	Well Pump & Motor - CW	11/1/2018 00:00:00	1	4630.91	4	101010	4	270	1	3240	3240	21221826	99	30835532	21214945	270	1	1	5hp Goulds Well Pump 65GS50 & Motor, riser pipe - Cedarwood, Carney Dr	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	00253 - Cedarwood/South Union Estates	00119185	10/31/2018 00:00:00	L1754013,E1917Z310203	USD	N/A	0	yes		4630.9
1	Well Pump & Motor - CW	11/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221826	99	30835538	29742346	270	1	1	5hp Goulds Well Pump 65GS50 & Motor, riser pipe - Cedarwood, Carney Dr	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	00253 - Cedarwood/South Union Estates	00119185	10/31/2018 00:00:00	F1752481,E2517Z310062	USD	N/A	0	yes		117.01
1	Well Pump & Motor- PH, S06 Talmo	11/1/2015 00:00:00	1	4305.24	4	101010	4	270	1	3240	3240	21221624	99	25532932	21214945	270	1	1	5HP model 40S50-15 GF 4" Sub Pump & 5HP 230/1 Franklin Sub Motor - Peacock Hill, S06 Talmo	12	1	2015	21212678		1	PUMPING EQUIPMENT [270]	66637 - Peacock Hill	00103560	10/31/2015 00:00:00	11890015, 15G140700540C	USD	N/A	0			4305.24
1	5hp pump & motor, CC Rosemount	4/1/2018 00:00:00	1	2724.49	4	101010	4	270	1	3240	3240	21221760	99	30148941	21214945	270	1	1	5hp pump & motor, CC at Rosemount BP Station	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	11887 - Cedar Crest	00116835	1/9/2018 00:00:00		USD	N/A	0			2724.49
1	63' 2.5" Galv. Pipe/Appt. - RCE S01	4/1/2019 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221852	99	31360776	29742346	270	1	1	63' 2.5" Galv. Piping, 2.5" Wye Assembly, (4) 1.25" x 24" Galvanized Nipples, (4) 1.24" Inline Check Valves, Red Cedar Estates S01, 3136 A 39th Way NE	12	1	2019	21212680		1	PUMPING EQUIPMENT [270]	71610 - Red Cedar Estates	00119199	11/15/2018 00:00:00		USD	N/A	0	yes		152.72
1	63' 2.5" Galv. Pipe/Appt. - RCE S01	4/1/2019 00:00:00	1	3761.02	4	101010	4	270	1	3240	3240	21221852	99	31360759	21214945	270	1	1	63' 2.5" Galv. Piping, 2.5" Wye Assembly, (4) 1.25" x 24" Galvanized Nipples, (4) 1.24" Inline Check Valves, Red Cedar Estates S01, 3136 A 39th Way NE	12	1	2019	21212680		1	PUMPING EQUIPMENT [270]	71610 - Red Cedar Estates	00119199	11/15/2018 00:00:00		USD	N/A	0	yes		3761.02
1	Booster #1 Motor - RW, Parkdale	11/1/2015 00:00:00	1	1636.84	4	101010	4	270	1	3240	3240	21221606	99	25532894	21214945	270	1	1	7.5HP 230/1 Baldor motor model JM1509T- Rosedale East @ Parkdale, Booster #1	12	1	2015	21212678		1	PUMPING EQUIPMENT [270]	09490 - Rosedale East	00103546	10/31/2015 00:00:00	F15080301E6	USD	N/A	0			1636.84
1	7.5hp Booster Pump at CC, Huntwick	10/1/2017 00:00:00	1	2362.85	4	101010	4	270	1	3240	3240	21221760	99	28880805	21214945	270	1	1	7.5hp Berkely Booster Pump at Cedar Crest, Huntwick (TCA 472)	12	1	2017	21212678		1	PUMPING EQUIPMENT [270]	11887 - Cedar Crest	00114367	9/30/2017 00:00:00		USD	N/A	0			2362.85
1	7.5hp Booster Pump at CC, Huntwick	10/1/2017 00:00:00	1	2362.89	4	101010	4	270	1	3240	3240	21221760	99	28880788	21214945	270	1	1	7.5hp Berkely Booster Pump at Cedar Crest, Huntwick (TCA 472)	12	1	2017	21212678		1	PUMPING EQUIPMENT [270]	11887 - Cedar Crest	00114367	9/30/2017 00:00:00		USD	N/A	0			2362.89
1	7.5hp Booster Pump - RW, Woodmere	10/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221606	99	30752020	29742346	270	1	1	7.5hp Booster Pump & Motor - Rosedale East, Woodmere	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	09490 - Rosedale East	00118736	8/7/2018 00:00:00		USD	N/A	0	yes		46.14
1	7.5hp Booster Pump - RW, Woodmere	10/1/2018 00:00:00	0	7250.8	4	101010	4	270	1	3240	3240	21221606	99	30752003	21214945	270	1	1	7.5hp Booster Pump & Motor - Rosedale East, Woodmere	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	09490 - Rosedale East	00118736	8/7/2018 00:00:00		USD	N/A	0	yes		7250.8
1	Well pump at Camelot Well #2	11/1/2017 00:00:00	1	5000.13	4	101010	4	270	1	3240	3240	21221848	99	29103083	21214945	270	1	1	7.5hp GF 85S75-6 6" Sub Pump at Camelot Well #2	12	1	2017	21212680		1	PUMPING EQUIPMENT [270]	10808 - Camelot and Western Skies	00114368	11/30/2017 00:00:00		USD	N/A	0			5000.13
1	7.5hp Grundfos Pump&Motor-MM S12	5/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221642	99	30291989	29742346	270	1	1	7.5hp model SP35S-28 Grundfos Well Pump&Motor- Minterbrook S12 (Kennedy Well)	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	54740 - Minterbrook	00117806	5/4/2018 00:00:00		USD	N/A	0	yes		292.25
1	7.5hp Grundfos Pump&Motor-MM S12	5/1/2018 00:00:00	1	12317.49	4	101010	4	270	1	3240	3240	21221642	99	30291983	21214945	270	1	1	7.5hp model SP35S-28 Grundfos Well Pump&Motor- Minterbrook S12 (Kennedy Well)	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	54740 - Minterbrook	00117806	5/4/2018 00:00:00		USD	N/A	0	yes		12317.49
1	Pump House - DLL	8/1/2018 00:00:00	1	289.66	4	101010	4	256	1	3210	3210	30501236	99	30569883	21214940	256	1	1	7'x7' (approx.) Pump House - Delta Long Lk	21	1	2018	21212678		1	MISCELLANEOUS [256]	10340 - Delta Long Lk acre tracks	WW100	8/1/2018 00:00:00		USD	N/A	0			289.66
1	Air Compressor - LBE1	4/1/2019 00:00:00	0	523.99	4	101010	4	270	1	3240	3240	21221588	99	31360836	21214945	270	1	1	Air Compressor - 6505 173rd Ave KPS, Longbranch Estates #1	12	1	2019	21212678		1	PUMPING EQUIPMENT [270]	AA771 - Longbranch Estates #1	00119471	3/25/2019 00:00:00		USD	N/A	0	yes		523.99
1	Air Compressor - LBE1	4/1/2019 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221588	99	31360853	29742346	270	1	1	Air Compressor - 6505 173rd Ave KPS, Longbranch Estates #1	12	1	2019	21212678		1	PUMPING EQUIPMENT [270]	AA771 - Longbranch Estates #1	00119471	3/25/2019 00:00:00		USD	N/A	0	yes		11.05
1	AirCompressor - LM, at Nu Era	4/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221702	99	30149125	29742346	270	1	1	Air Compressor - Lake Minterwood, at Nu Era	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	55210 - Lake Minterwood	00117897	3/2/2018 00:00:00		USD	N/A	0	yes		60.94
1	AirCompressor - LM, at Nu Era	4/1/2018 00:00:00	1	3201.5	4	101010	4	270	1	3240	3240	21221702	99	30149108	21214945	270	1	1	Air Compressor - Lake Minterwood, at Nu Era	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	55210 - Lake Minterwood	00117897	3/2/2018 00:00:00		USD	N/A	0	yes		3201.5
1	Air Compressor - PT S03	4/1/2019 00:00:00	1	530.08	4	101010	4	270	1	3240	3240	21221604	99	31360713	21214945	270	1	1	Air Compressor 1159 SE Lakeway Blvd - Parkview Terrace S03	12	1	2019	21212678		1	PUMPING EQUIPMENT [270]	66215 - Parkview Terrace	00118919	1/16/2019 00:00:00		USD	N/A	0	yes		530.08
1	Air Compressor - PT S03	4/1/2019 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221604	99	31360730	29742346	270	1	1	Air Compressor 1159 SE Lakeway Blvd - Parkview Terrace S03	12	1	2019	21212678		1	PUMPING EQUIPMENT [270]	66215 - Parkview Terrace	00118919	1/16/2019 00:00:00		USD	N/A	0	yes		8.71
1	Air Compressor S02 - Cole	5/1/2019 00:00:00	1	1210.48	4	101010	4	270	1	3240	3240	21221726	99	31459096	21214945	270	1	1	Air Compressor S02, 19010 2nd St Lakebay - Cole	12	1	2019	21212678		1	PUMPING EQUIPMENT [270]	35363 - Cole	00120070	4/22/2019 00:00:00		USD	N/A	0	yes		1210.48
1	Air Compressor S02 - Cole	5/1/2019 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221726	99	31459113	29742346	270	1	1	Air Compressor S02, 19010 2nd St Lakebay - Cole	12	1	2019	21212678		1	PUMPING EQUIPMENT [270]	35363 - Cole	00120070	4/22/2019 00:00:00		USD	N/A	0	yes		18.85
1	Aqua-Loc Hydrostatic Test Pump - NW	1/1/2018 00:00:00	1	4325.85	4	101010	4	270	1	3240	3240	21212872	99	29690566	21214945	270	1	1	Aqua-Loc Hydrostatic Test Pump s/n 2554166 - GH Shop	12	1	2018	21212676		1	PUMPING EQUIPMENT [270]	500 - WWSCO Admin	00117003	11/30/2017 00:00:00	2554166	USD	N/A	0			4325.85
